"Step","warm-sweep-1 - accuracy","warm-sweep-1 - accuracy__MIN","warm-sweep-1 - accuracy__MAX","warm-sweep-1 - val_accuracy","warm-sweep-1 - val_accuracy__MIN","warm-sweep-1 - val_accuracy__MAX"
"0","0.8525333404541016","0.8525333404541016","0.8525333404541016","0.9418666958808899","0.9418666958808899","0.9418666958808899"
"1","0.9378833174705505","0.9378833174705505","0.9378833174705505","0.9159500002861023","0.9159500002861023","0.9159500002861023"
"2","0.942633330821991","0.942633330821991","0.942633330821991","0.9262166619300842","0.9262166619300842","0.9262166619300842"
"3","0.9442041516304016","0.9442041516304016","0.9442041516304016","0.9250500202178955","0.9250500202178955","0.9250500202178955"
"4","0.9497625231742859","0.9497625231742859","0.9497625231742859","0.9553166627883911","0.9553166627883911","0.9553166627883911"
"5","0.9592666625976562","0.9592666625976562","0.9592666625976562","0.9741833209991455","0.9741833209991455","0.9741833209991455"
"6","0.9654666781425476","0.9654666781425476","0.9654666781425476","0.9759500026702881","0.9759500026702881","0.9759500026702881"
"7","0.9705125093460083","0.9705125093460083","0.9705125093460083","0.9811333417892456","0.9811333417892456","0.9811333417892456"
"8","0.9720916748046875","0.9720916748046875","0.9720916748046875","0.9815833568572998","0.9815833568572998","0.9815833568572998"
"9","0.970912516117096","0.970912516117096","0.970912516117096","0.9798166751861572","0.9798166751861572","0.9798166751861572"
"10","0.9694166779518127","0.9694166779518127","0.9694166779518127","0.9743666648864746","0.9743666648864746","0.9743666648864746"
"11","0.968625009059906","0.968625009059906","0.968625009059906","0.9801999926567078","0.9801999926567078","0.9801999926567078"
"12","0.9674416780471802","0.9674416780471802","0.9674416780471802","0.9760666489601135","0.9760666489601135","0.9760666489601135"
"13","0.9697833061218262","0.9697833061218262","0.9697833061218262","0.975350022315979","0.975350022315979","0.975350022315979"
"14","0.9734958410263062","0.9734958410263062","0.9734958410263062","0.9798499941825867","0.9798499941825867","0.9798499941825867"
"15","0.9757541418075562","0.9757541418075562","0.9757541418075562","0.9835500121116638","0.9835500121116638","0.9835500121116638"
"16","0.9761833548545837","0.9761833548545837","0.9761833548545837","0.9802666902542114","0.9802666902542114","0.9802666902542114"
"17","0.9751916527748108","0.9751916527748108","0.9751916527748108","0.9832333326339722","0.9832333326339722","0.9832333326339722"
"18","0.9741083383560181","0.9741083383560181","0.9741083383560181","0.9830499887466431","0.9830499887466431","0.9830499887466431"
"19","0.9736958146095276","0.9736958146095276","0.9736958146095276","0.9760000109672546","0.9760000109672546","0.9760000109672546"
"20","0.9735875129699707","0.9735875129699707","0.9735875129699707","0.9807500243186951","0.9807500243186951","0.9807500243186951"
"21","0.9743250012397766","0.9743250012397766","0.9743250012397766","0.9838500022888184","0.9838500022888184","0.9838500022888184"
"22","0.9752916693687439","0.9752916693687439","0.9752916693687439","0.9800999760627747","0.9800999760627747","0.9800999760627747"
"23","0.9756083488464355","0.9756083488464355","0.9756083488464355","0.9822499752044678","0.9822499752044678","0.9822499752044678"
