Wall time,Step,Value
1655370829.801372,100,0.001449999981559813
1655370857.885046,200,0.0019000000320374966
1655370885.882879,300,0.0023499999660998583
1655370913.9544,400,0.00279999990016222
1655370941.731903,500,0.0032500000670552254
1655370969.614915,600,0.0036999997682869434
1655370997.891005,700,0.004149999935179949
1655371025.986656,800,0.004599999636411667
1655371053.820476,900,0.005049999803304672
1655371081.815694,1000,0.005499999970197678
1655371110.694124,1100,0.005949999671429396
1655371138.563825,1200,0.006399999838322401
1655371166.474359,1300,0.006850000005215406
1655371194.265439,1400,0.0072999997064471245
1655371221.905073,1500,0.00774999987334013
1655371249.680925,1600,0.00819999910891056
1655371277.54884,1700,0.008649999275803566
1655371305.149593,1800,0.009099999442696571
1655371332.818811,1900,0.009549999609589577
1655371360.540889,2000,0.009999999776482582
1655371388.912527,2100,0.009984586387872696
1655371416.594282,2200,0.009938441216945648
1655371444.240185,2300,0.009861849248409271
1655371471.901384,2400,0.00975528173148632
1655371499.600297,2500,0.009619398042559624
1655371527.113039,2600,0.009455031715333462
1655371554.73477,2700,0.00926320068538189
1655371582.564232,2800,0.009045084938406944
1655371610.014046,2900,0.008802030235528946
1655371637.543674,3000,0.008535534143447876
1655371665.801289,3100,0.00824724044650793
1655371693.312254,3200,0.007938926108181477
1655371721.104152,3300,0.007612492423504591
1655371749.185253,3400,0.007269951980561018
1655371777.341284,3500,0.006913417484611273
1655371805.980167,3600,0.0065450845286250114
1655371834.007844,3700,0.006167226936668158
1655371862.435581,3800,0.005782172549515963
1655371890.793897,3900,0.005392294842749834
1655371919.218912,4000,0.004999999422580004
1655371948.380317,4100,0.004607704002410173
1655371976.737585,4200,0.004217827692627907
1655372005.016379,4300,0.0038327728398144245
1655372033.55685,4400,0.0034549145493656397
1655372062.030614,4500,0.0030865822918713093
1655372090.26794,4600,0.002730047097429633
1655372118.447602,4700,0.0023875064216554165
1655372146.204622,4800,0.002061072736978531
1655372173.93062,4900,0.001752758864313364
1655372202.456755,5000,0.0014644660986959934
1655372231.827969,5100,0.0011979698901996017
1655372259.402997,5200,0.0009549146634526551
1655372287.267003,5300,0.00073679891647771
1655372314.95889,5400,0.0005449676536954939
1655372342.436921,5500,0.0003806024615187198
1655372370.722892,5600,0.0002447175793349743
1655372398.510763,5700,0.00013815014972351491
1655372426.586717,5800,6.155818846309558e-05
1655372454.264171,5900,1.5413164874189533e-05
1655372481.901061,6000,0.0
