Wall time,Step,Value
1655370829.798,100,0.6038197875022888
1655370857.881347,200,0.30855339765548706
1655370885.879042,300,0.33057817816734314
1655370913.950917,400,0.2995055615901947
1655370941.728164,500,0.2317088097333908
1655370969.610769,600,0.19468805193901062
1655370997.887489,700,0.22658587992191315
1655371025.983062,800,0.26138415932655334
1655371053.817103,900,0.2969667315483093
1655371081.812353,1000,0.16387873888015747
1655371110.691207,1100,0.2532970607280731
1655371138.560477,1200,0.1548493355512619
1655371166.471644,1300,0.2379162609577179
1655371194.262021,1400,0.21026453375816345
1655371221.901253,1500,0.2626487612724304
1655371249.678331,1600,0.15496055781841278
1655371277.545443,1700,0.241221621632576
1655371305.146276,1800,0.1590293049812317
1655371332.815162,1900,0.1330084651708603
1655371360.537434,2000,0.18313023447990417
1655371388.909193,2100,0.1475946009159088
1655371416.590361,2200,0.1419643610715866
1655371444.236766,2300,0.14919790625572205
1655371471.897771,2400,0.1447538137435913
1655371499.596746,2500,0.16044144332408905
1655371527.109062,2600,0.14445140957832336
1655371554.732695,2700,0.14004653692245483
1655371582.561254,2800,0.2204754501581192
1655371610.010784,2900,0.14291207492351532
1655371637.539791,3000,0.1432512253522873
1655371665.798835,3100,0.12364540994167328
1655371693.308989,3200,0.1467856764793396
1655371721.100695,3300,0.13701918721199036
1655371749.181984,3400,0.11411057412624359
1655371777.337609,3500,0.1401335746049881
1655371805.976532,3600,0.15606369078159332
1655371834.00444,3700,0.1617763489484787
1655371862.43208,3800,0.15025675296783447
1655371890.790421,3900,0.12887482345104218
1655371919.21556,4000,0.14856916666030884
1655371948.37606,4100,0.12170866131782532
1655371976.734004,4200,0.11519564688205719
1655372005.012857,4300,0.124092236161232
1655372033.553087,4400,0.13508234918117523
1655372062.027311,4500,0.16260387003421783
1655372090.264339,4600,0.10802299529314041
1655372118.443934,4700,0.13287845253944397
1655372146.200731,4800,0.1328635960817337
1655372173.927221,4900,0.22194813191890717
1655372202.453478,5000,0.09199858456850052
1655372231.825216,5100,0.13113923370838165
1655372259.401024,5200,0.08804184198379517
1655372287.263554,5300,0.12125829607248306
1655372314.955615,5400,0.09112217277288437
1655372342.433415,5500,0.11362200975418091
1655372370.719633,5600,0.21427369117736816
1655372398.506934,5700,0.11525756865739822
1655372426.583268,5800,0.09943875670433044
1655372454.261628,5900,0.11696042865514755
1655372481.897651,6000,0.12321000546216965
