"Step","pretty-sweep-1 - acc","pretty-sweep-1 - acc__MIN","pretty-sweep-1 - acc__MAX","pretty-sweep-1 - val_acc","pretty-sweep-1 - val_acc__MIN","pretty-sweep-1 - val_acc__MAX","pretty-sweep-1 - loss","pretty-sweep-1 - loss__MIN","pretty-sweep-1 - loss__MAX","pretty-sweep-1 - val_loss","pretty-sweep-1 - val_loss__MIN","pretty-sweep-1 - val_loss__MAX"
"0","0.9163866639137268","0.9163866639137268","0.9163866639137268","0.9704300165176392","0.9704300165176392","0.9704300165176392","5.5722126960754395","5.5722126960754395","5.5722126960754395","2.9467597007751465","2.9467597007751465","2.9467597007751465"
"1","0.9726344347000122","0.9726344347000122","0.9726344347000122","0.9763399958610535","0.9763399958610535","0.9763399958610535","1.4882497787475586","1.4882497787475586","1.4882497787475586","1.6663925647735596","1.6663925647735596","1.6663925647735596"
"2","0.9773544669151306","0.9773544669151306","0.9773544669151306","0.9858400225639343","0.9858400225639343","0.9858400225639343","1.1908032894134521","1.1908032894134521","1.1908032894134521","1.344759225845337","1.344759225845337","1.344759225845337"
"3","0.9796466827392578","0.9796466827392578","0.9796466827392578","0.9893800020217896","0.9893800020217896","0.9893800020217896","0.9724608659744263","0.9724608659744263","0.9724608659744263","0.5704345703125","0.5704345703125","0.5704345703125"
"4","0.9820944666862488","0.9820944666862488","0.9820944666862488","0.9908499717712402","0.9908499717712402","0.9908499717712402","0.8263078927993774","0.8263078927993774","0.8263078927993774","0.6204403638839722","0.6204403638839722","0.6204403638839722"
"5","0.9833066463470459","0.9833066463470459","0.9833066463470459","0.9861699938774109","0.9861699938774109","0.9861699938774109","0.7234833240509033","0.7234833240509033","0.7234833240509033","0.544858992099762","0.544858992099762","0.544858992099762"
"6","0.9840855598449707","0.9840855598449707","0.9840855598449707","0.9902300238609314","0.9902300238609314","0.9902300238609314","0.6460261344909668","0.6460261344909668","0.6460261344909668","0.4022447466850281","0.4022447466850281","0.4022447466850281"
"7","0.9857255816459656","0.9857255816459656","0.9857255816459656","0.9882500171661377","0.9882500171661377","0.9882500171661377","0.5225993990898132","0.5225993990898132","0.5225993990898132","0.7036041021347046","0.7036041021347046","0.7036041021347046"
"8","0.9864611029624939","0.9864611029624939","0.9864611029624939","0.9914500117301941","0.9914500117301941","0.9914500117301941","0.4983997046947479","0.4983997046947479","0.4983997046947479","0.3011271059513092","0.3011271059513092","0.3011271059513092"
"9","0.9865644574165344","0.9865644574165344","0.9865644574165344","0.991100013256073","0.991100013256073","0.991100013256073","0.451416015625","0.451416015625","0.451416015625","0.3906109035015106","0.3906109035015106","0.3906109035015106"
"10","0.9873389005661011","0.9873389005661011","0.9873389005661011","0.9922900199890137","0.9922900199890137","0.9922900199890137","0.4076443016529083","0.4076443016529083","0.4076443016529083","0.31199488043785095","0.31199488043785095","0.31199488043785095"
"11","0.9871833324432373","0.9871833324432373","0.9871833324432373","0.992169976234436","0.992169976234436","0.992169976234436","0.37865784764289856","0.37865784764289856","0.37865784764289856","0.5560186505317688","0.5560186505317688","0.5560186505317688"
"12","0.9881011247634888","0.9881011247634888","0.9881011247634888","0.9906799793243408","0.9906799793243408","0.9906799793243408","0.34912583231925964","0.34912583231925964","0.34912583231925964","0.3514610230922699","0.3514610230922699","0.3514610230922699"
"13","0.988444447517395","0.988444447517395","0.988444447517395","0.9896399974822998","0.9896399974822998","0.9896399974822998","0.3124404549598694","0.3124404549598694","0.3124404549598694","0.3481544554233551","0.3481544554233551","0.3481544554233551"
"14","0.989163339138031","0.989163339138031","0.989163339138031","0.99440997838974","0.99440997838974","0.99440997838974","0.2737998366355896","0.2737998366355896","0.2737998366355896","0.19811473786830902","0.19811473786830902","0.19811473786830902"
"15","0.9894866943359375","0.9894866943359375","0.9894866943359375","0.9940199851989746","0.9940199851989746","0.9940199851989746","0.24842911958694458","0.24842911958694458","0.24842911958694458","0.25392842292785645","0.25392842292785645","0.25392842292785645"
"16","0.9893689155578613","0.9893689155578613","0.9893689155578613","0.9922699928283691","0.9922699928283691","0.9922699928283691","0.2339148223400116","0.2339148223400116","0.2339148223400116","0.23118969798088074","0.23118969798088074","0.23118969798088074"
"17","0.9903777837753296","0.9903777837753296","0.9903777837753296","0.9940000176429749","0.9940000176429749","0.9940000176429749","0.19988901913166046","0.19988901913166046","0.19988901913166046","0.1661125123500824","0.1661125123500824","0.1661125123500824"
"18","0.9903344511985779","0.9903344511985779","0.9903344511985779","0.993120014667511","0.993120014667511","0.993120014667511","0.18215744197368622","0.18215744197368622","0.18215744197368622","0.1388891637325287","0.1388891637325287","0.1388891637325287"
"19","0.990821123123169","0.990821123123169","0.990821123123169","0.9938899874687195","0.9938899874687195","0.9938899874687195","0.16094329953193665","0.16094329953193665","0.16094329953193665","0.1329776495695114","0.1329776495695114","0.1329776495695114"
