Wall time,Step,Value
1655370829.796882,100,0.0226775873452425
1655370857.880102,200,0.01850222609937191
1655370885.877875,300,0.017002800479531288
1655370913.949749,400,0.012504685670137405
1655370941.726726,500,0.012736115604639053
1655370969.609534,600,0.008381747640669346
1655370997.886292,700,0.007142141927033663
1655371025.98196,800,0.007538205944001675
1655371053.815957,900,0.011160893365740776
1655371081.81125,1000,0.00639617582783103
1655371110.690411,1100,0.010251290164887905
1655371138.559346,1200,0.00453191576525569
1655371166.470875,1300,0.008276205509901047
1655371194.260908,1400,0.006303048226982355
1655371221.90018,1500,0.010715944692492485
1655371249.677012,1600,0.003742972621694207
1655371277.54435,1700,0.0047113047912716866
1655371305.145167,1800,0.0034334417432546616
1655371332.814053,1900,0.003679579123854637
1655371360.536304,2000,0.00424670334905386
1655371388.908067,2100,0.0034213869366794825
1655371416.589244,2200,0.004090800415724516
1655371444.235662,2300,0.004113812930881977
1655371471.896495,2400,0.0076032062061131
1655371499.595589,2500,0.0043375384993851185
1655371527.10785,2600,0.006127301137894392
1655371554.731792,2700,0.003516003955155611
1655371582.560088,2800,0.00577071076259017
1655371610.009704,2900,0.003362218616530299
1655371637.538125,3000,0.0040181525982916355
1655371665.798015,3100,0.0030664976220577955
1655371693.307896,3200,0.004189366940408945
1655371721.099601,3300,0.002845440059900284
1655371749.181221,3400,0.002644612919539213
1655371777.336518,3500,0.0028337049297988415
1655371805.975447,3600,0.005265669897198677
1655371834.003315,3700,0.006401434540748596
1655371862.430488,3800,0.002651787595823407
1655371890.789264,3900,0.005431442987173796
1655371919.214441,4000,0.0032528862357139587
1655371948.3746,4100,0.003164297202602029
1655371976.732842,4200,0.0017893397016450763
1655372005.011633,4300,0.0014795578317716718
1655372033.551818,4400,0.003412941936403513
1655372062.026231,4500,0.004768680315464735
1655372090.263251,4600,0.0016143865650519729
1655372118.442806,4700,0.003421130357310176
1655372146.199533,4800,0.0026882803067564964
1655372173.925908,4900,0.0027470255736261606
1655372202.452374,5000,0.0024065522011369467
1655372231.824445,5100,0.004548041149973869
1655372259.400427,5200,0.0026352200657129288
1655372287.26242,5300,0.0018919353606179357
1655372314.954532,5400,0.0013312455266714096
1655372342.432319,5500,0.0021416277159005404
1655372370.718558,5600,0.0045357015915215015
1655372398.505711,5700,0.0046609812416136265
1655372426.58219,5800,0.002476357389241457
1655372454.260731,5900,0.002577661769464612
1655372481.896315,6000,0.0027044089511036873
