"Step","warm-sweep-1 - loss","warm-sweep-1 - loss__MIN","warm-sweep-1 - loss__MAX","warm-sweep-1 - val_loss","warm-sweep-1 - val_loss__MIN","warm-sweep-1 - val_loss__MAX"
"0","24.321260452270508","24.321260452270508","24.321260452270508","3.6368775367736816","3.6368775367736816","3.6368775367736816"
"1","2.7508554458618164","2.7508554458618164","2.7508554458618164","4.770933151245117","4.770933151245117","4.770933151245117"
"2","2.389669895172119","2.389669895172119","2.389669895172119","3.690319299697876","3.690319299697876","3.690319299697876"
"3","2.078258752822876","2.078258752822876","2.078258752822876","19.8464412689209","19.8464412689209","19.8464412689209"
"4","1.7102530002593994","1.7102530002593994","1.7102530002593994","0.9049347639083862","0.9049347639083862","0.9049347639083862"
"5","1.0804780721664429","1.0804780721664429","1.0804780721664429","0.9575614333152771","0.9575614333152771","0.9575614333152771"
"6","0.7314385771751404","0.7314385771751404","0.7314385771751404","0.5441926717758179","0.5441926717758179","0.5441926717758179"
"7","0.5150061249732971","0.5150061249732971","0.5150061249732971","0.41558894515037537","0.41558894515037537","0.41558894515037537"
"8","0.44834092259407043","0.44834092259407043","0.44834092259407043","0.42196857929229736","0.42196857929229736","0.42196857929229736"
"9","0.4806777536869049","0.4806777536869049","0.4806777536869049","0.4380282759666443","0.4380282759666443","0.4380282759666443"
"10","0.5265668630599976","0.5265668630599976","0.5265668630599976","0.7009458541870117","0.7009458541870117","0.7009458541870117"
"11","0.5951650142669678","0.5951650142669678","0.5951650142669678","0.6464920043945312","0.6464920043945312","0.6464920043945312"
"12","0.612551748752594","0.612551748752594","0.612551748752594","0.8158050179481506","0.8158050179481506","0.8158050179481506"
"13","0.5250014066696167","0.5250014066696167","0.5250014066696167","0.5561259388923645","0.5561259388923645","0.5561259388923645"
"14","0.3972872197628021","0.3972872197628021","0.3972872197628021","0.4172205328941345","0.4172205328941345","0.4172205328941345"
"15","0.33331063389778137","0.33331063389778137","0.33331063389778137","0.37071436643600464","0.37071436643600464","0.37071436643600464"
"16","0.32384201884269714","0.32384201884269714","0.32384201884269714","0.38673996925354004","0.38673996925354004","0.38673996925354004"
"17","0.346334844827652","0.346334844827652","0.346334844827652","0.426519513130188","0.426519513130188","0.426519513130188"
"18","0.37058645486831665","0.37058645486831665","0.37058645486831665","0.4026919901371002","0.4026919901371002","0.4026919901371002"
"19","0.37739259004592896","0.37739259004592896","0.37739259004592896","0.5219312310218811","0.5219312310218811","0.5219312310218811"
"20","0.3740992546081543","0.3740992546081543","0.3740992546081543","0.3777475357055664","0.3777475357055664","0.3777475357055664"
"21","0.346017062664032","0.346017062664032","0.346017062664032","0.40146923065185547","0.40146923065185547","0.40146923065185547"
"22","0.312811940908432","0.312811940908432","0.312811940908432","0.3693312108516693","0.3693312108516693","0.3693312108516693"
"23","0.2992502748966217","0.2992502748966217","0.2992502748966217","0.3515785038471222","0.3515785038471222","0.3515785038471222"
