Wall time,Step,Value
1655370829.800222,100,0.6548421382904053
1655370857.883741,200,0.3554047644138336
1655370885.881309,300,0.37593257427215576
1655370913.95323,400,0.34036287665367126
1655370941.730603,500,0.27279892563819885
1655370969.613233,600,0.23142710328102112
1655370997.88977,700,0.262088805437088
1655371025.985494,800,0.297288715839386
1655371053.819325,900,0.3364965319633484
1655371081.814506,1000,0.19864653050899506
1655371110.693309,1100,0.2919226586818695
1655371138.562675,1200,0.18775907158851624
1655371166.473514,1300,0.2745739817619324
1655371194.264162,1400,0.24495312571525574
1655371221.90346,1500,0.30175313353538513
1655371249.680134,1600,0.18709878623485565
1655371277.547692,1700,0.2743337154388428
1655371305.148444,1800,0.19089151918888092
1655371332.817586,1900,0.1651204377412796
1655371360.539665,2000,0.21581250429153442
1655371388.911369,2100,0.1794545203447342
1655371416.593083,2200,0.17449989914894104
1655371444.238946,2300,0.18175916373729706
1655371471.90017,2400,0.180807426571846
1655371499.598963,2500,0.19323450326919556
1655371527.111717,2600,0.17903584241867065
1655371554.734085,2700,0.17202173173427582
1655371582.563442,2800,0.25470995903015137
1655371610.012928,2900,0.17473946511745453
1655371637.542478,3000,0.1757378876209259
1655371665.800459,3100,0.1551797240972519
1655371693.311111,3200,0.179441437125206
1655371721.10305,3300,0.1683288812637329
1655371749.183812,3400,0.14521734416484833
1655371777.340069,3500,0.17142894864082336
1655371805.978853,3600,0.1897885799407959
1655371834.006724,3700,0.1966346651315689
1655371862.434377,3800,0.18136222660541534
1655371890.792569,3900,0.1627577692270279
1655371919.217718,4000,0.18027004599571228
1655371948.379039,4100,0.15331749618053436
1655371976.736382,4200,0.145427405834198
1655372005.015166,4300,0.15401123464107513
1655372033.555705,4400,0.16693216562271118
1655372062.029453,4500,0.19580698013305664
1655372090.266786,4600,0.13806940615177155
1655372118.446177,4700,0.16472947597503662
1655372146.203497,4800,0.16397981345653534
1655372173.92941,4900,0.25312110781669617
1655372202.455633,5000,0.12282945960760117
1655372231.82685,5100,0.1641101986169815
1655372259.402382,5200,0.11909883469343185
1655372287.265838,5300,0.15157105028629303
1655372314.957734,5400,0.12087351083755493
1655372342.435788,5500,0.1441832035779953
1655372370.72176,5600,0.24722860753536224
1655372398.509529,5700,0.14833754301071167
1655372426.5854,5800,0.13033398985862732
1655372454.26347,5900,0.14795690774917603
1655372481.89989,6000,0.1543332189321518
